frame_idx,is_warmup,decode_ms,yolo_ms,depth_ms,total_ms,num_detections,gpu_mem_alloc_mb,gpu_mem_reserved_mb
207,False,0.692,6.761,886.748,896.78,2,3874.7,12010.0
208,False,0.833,6.786,885.822,896.066,2,3874.7,12010.0
209,False,0.746,7.462,885.534,896.538,2,3874.7,12010.0
210,False,0.6,6.594,882.262,892.323,2,3874.7,12010.0
211,False,0.722,7.33,883.002,893.571,2,3875.6,12010.0
212,False,0.585,6.558,892.345,902.463,2,3874.7,12010.0
213,False,0.578,6.674,896.035,906.613,2,3874.7,12010.0
214,False,0.711,6.743,887.458,897.596,2,3874.7,12010.0
215,False,0.673,6.757,885.644,895.974,2,3874.7,12010.0
216,False,0.427,7.139,885.765,896.216,2,3874.7,12010.0
217,False,0.673,6.87,887.407,897.519,2,3875.1,12010.0
218,False,0.741,6.694,888.863,899.096,2,3874.7,12010.0
219,False,0.663,6.992,884.882,895.274,2,3874.7,12010.0
220,False,0.697,8.258,880.518,891.894,2,3874.7,12010.0
221,False,0.683,6.811,883.098,893.476,2,3875.6,12010.0
222,False,0.596,6.676,892.231,902.156,2,3874.7,12010.0
223,False,0.562,6.718,893.885,904.591,2,3874.7,12010.0
224,False,0.715,6.816,888.181,898.993,2,3874.7,12010.0
225,False,1.005,6.843,888.286,899.332,2,3874.7,12010.0
226,False,0.95,6.772,890.842,901.158,2,3875.6,12010.0
227,False,0.611,6.612,887.521,898.096,1,3874.7,12010.0
228,False,0.746,6.626,888.936,899.371,1,3874.7,12010.0
229,False,0.708,6.676,885.31,896.254,1,3874.7,12010.0
230,False,1.132,6.543,881.627,891.395,1,3874.7,12010.0
231,False,0.675,6.987,887.063,897.445,1,3874.7,12010.0
232,False,0.613,6.567,893.731,903.776,1,3875.1,12010.0
233,False,0.576,6.709,894.99,905.548,1,3874.7,12010.0
234,False,0.729,6.934,888.604,899.313,1,3874.7,12010.0
235,False,0.449,7.125,885.148,895.206,1,3874.7,12010.0
236,False,0.672,6.706,887.687,897.561,1,3875.6,12010.0
237,False,0.606,6.965,887.242,897.553,1,3874.7,12010.0
238,False,0.687,6.865,887.662,897.957,1,3874.7,12010.0
239,False,0.6,6.767,884.113,894.541,1,3874.7,12010.0
240,False,0.709,7.56,878.393,889.546,1,3874.7,12010.0
241,False,1.08,6.713,886.832,896.965,1,3875.6,12010.0
242,False,0.571,6.652,892.38,902.439,1,3874.7,12010.0
243,False,0.654,6.674,892.698,903.002,1,3874.7,12010.0
244,False,0.417,7.19,886.196,896.643,1,3874.7,12010.0
245,False,0.649,6.756,886.04,896.432,1,3874.7,12010.0
246,False,0.744,8.047,888.993,900.356,1,3874.7,12010.0
247,False,0.703,6.333,886.406,896.313,0,3875.1,12010.0
248,False,0.665,7.052,886.672,897.85,0,3874.7,12010.0
249,False,0.644,6.522,884.452,894.428,0,3874.7,12010.0
250,False,0.555,6.436,881.147,891.254,0,3874.7,12010.0
251,False,0.631,6.831,892.867,903.147,0,3875.6,12010.0
252,False,0.612,6.275,894.974,904.726,0,3874.7,12010.0
253,False,0.613,6.454,893.823,903.797,0,3874.7,12010.0
254,False,0.611,6.657,886.221,896.203,0,3874.7,12010.0
255,False,0.724,6.499,890.983,900.895,0,3874.7,12010.0
256,False,0.71,7.869,889.384,900.555,0,3875.6,12010.0
257,False,0.593,6.74,890.092,900.345,0,3874.7,12010.0
258,False,0.673,6.6,890.322,900.162,0,3874.7,12010.0
259,False,0.65,6.316,886.576,896.488,0,3874.7,12010.0
260,False,0.593,6.7,881.982,892.116,0,3874.7,12010.0
261,False,0.624,6.694,888.863,898.859,0,3874.7,12010.0
262,False,0.594,6.346,896.232,905.724,0,3875.1,12010.0
263,False,0.75,6.45,890.45,900.341,0,3874.7,12010.0
264,False,0.685,6.648,885.845,895.987,0,3874.7,12010.0
265,False,0.679,6.618,888.829,898.987,0,3874.7,12010.0
266,False,0.589,6.44,890.419,900.521,0,3875.6,12010.0
267,False,0.693,8.329,890.182,901.991,0,3874.7,12010.0
268,False,0.707,6.674,889.602,899.487,0,3874.7,12010.0
269,False,0.626,6.685,888.531,898.737,0,3874.7,12010.0
270,False,0.676,7.112,880.623,891.206,0,3874.7,12010.0
271,False,0.734,6.492,891.46,901.304,0,3875.6,12010.0
272,False,0.675,7.565,896.486,906.945,0,3874.7,12010.0
273,False,0.592,6.268,898.075,908.098,0,3874.7,12010.0
274,False,0.562,6.647,891.718,901.803,0,3874.7,12010.0
275,False,0.552,6.621,888.39,898.705,0,3874.7,12010.0
276,False,0.703,8.748,892.547,905.312,0,3874.7,12010.0
277,False,0.637,6.397,894.586,904.802,0,3875.1,12010.0
278,False,0.522,6.304,894.834,904.667,0,3874.7,12010.0
279,False,0.577,6.29,888.092,897.907,0,3874.7,12010.0
280,False,0.567,6.574,883.754,893.86,0,3874.7,12010.0
281,False,0.565,6.25,889.287,899.698,0,3875.6,12010.0
282,False,0.554,6.629,895.162,905.345,0,3874.7,12010.0
283,False,0.716,7.941,899.85,911.11,0,3874.7,12010.0
284,False,0.546,6.38,892.86,902.96,0,3874.7,12010.0
285,False,0.526,6.701,890.196,900.603,0,3874.7,12010.0
286,False,0.685,7.39,893.876,905.253,0,3875.6,12010.0
287,False,0.408,6.846,894.154,904.153,0,3874.7,12010.0
288,False,0.53,6.334,893.611,903.792,0,3874.7,12010.0
289,False,0.62,6.901,890.029,900.408,0,3874.7,12010.0
290,False,0.598,6.325,884.206,894.202,0,3874.7,12010.0
291,False,0.379,7.471,881.19,902.333,0,3874.7,12010.0
292,False,0.687,7.074,894.788,904.782,0,3875.1,12010.0
293,False,0.838,6.481,897.108,906.848,0,3874.7,12010.0
294,False,0.654,6.684,893.942,903.919,0,3874.7,12010.0
295,False,0.705,6.601,888.792,898.692,0,3874.7,12010.0
296,False,0.763,7.272,891.613,902.684,1,3875.6,12010.0
297,False,0.755,6.58,891.008,901.454,2,3874.7,12010.0
298,False,0.644,6.693,891.326,901.424,3,3874.7,12010.0
299,False,0.733,6.855,894.037,904.395,4,3874.7,12010.0
